Tabla 1
ID;Hora de inicio;Hora de finalización;Correo electrónico;Nombre;Total de puntos;Comentarios del cuestionario;Hora de la última modificación;Edad;Puntos: Edad;Comentarios: Edad;¿Vivís o trabajas en el AMBA (Área Metropolitana de Buenos Aires. “Incluye CABA”)?;Puntos: ¿Vivís o trabajas en el AMBA (Área Metropolitana de Buenos Aires. “Incluye CABA”)?;Comentarios: ¿Vivís o trabajas en el AMBA (Área Metropolitana de Buenos Aires. “Incluye CABA”)?; ¿Cuál de estos perfiles te representa?;Puntos:  ¿Cuál de estos perfiles te representa?;Comentarios:  ¿Cuál de estos perfiles te representa?;¿Usás servicios de logística para el envío y/o recepción de encomiendas?;Puntos: ¿Usás servicios de logística para el envío y/o recepción de encomiendas?;Comentarios: ¿Usás servicios de logística para el envío y/o recepción de encomiendas?;Puntos: ¿Con qué frecuencia recurris a los servicios de logística? ;Comentarios: ¿Con qué frecuencia recurris a los servicios de logística? ;Frecuencia de uso;Puntos: Frecuencia de uso;Comentarios: Frecuencia de uso; ¿Qué servicio usás habitualmente?;Puntos:  ¿Qué servicio usás habitualmente?;Comentarios:  ¿Qué servicio usás habitualmente?;¿Qué aspectos tenés en cuenta a la hora de elegir un servicio de logística?;Puntos: ¿Qué aspectos tenés en cuenta a la hora de elegir un servicio de logística?;Comentarios: ¿Qué aspectos tenés en cuenta a la hora de elegir un servicio de logística?;¿Existe algún otro aspecto fuera de los mencionados que te quieras comentarnos?;Puntos: ¿Existe algún otro aspecto fuera de los mencionados que te quieras comentarnos?;Comentarios: ¿Existe algún otro aspecto fuera de los mencionados que te quieras comentarnos?;¿Cuánto pagarías por enviar un paquete chico (ej. una caja de zapatos) dentro del AMBA?;Puntos: ¿Cuánto pagarías por enviar un paquete chico (ej. una caja de zapatos) dentro del AMBA?;Comentarios: ¿Cuánto pagarías por enviar un paquete chico (ej. una caja de zapatos) dentro del AMBA?;¿Qué problemas tuviste al enviar o recibir encomiendas?;Puntos: ¿Qué problemas tuviste al enviar o recibir encomiendas?;Comentarios: ¿Qué problemas tuviste al enviar o recibir encomiendas?;Puntos: ¿Qué tan predispuesto/a estarías a usar una plataforma de viajes compartidos para encomiendas?;Comentarios: ¿Qué tan predispuesto/a estarías a usar una plataforma de viajes compartidos para encomiendas?;Estaría...;Puntos: Estaría...;Comentarios: Estaría...;Y si además de la coordinación de la logística la plataforma te ofreciera la opción de clasificar tu paquete utilizando una foto para cotizar el servicio,  ¿utilizarías esta función? ;Puntos: Y si además de la coordinación de la logística la plataforma te ofreciera la opción de clasificar tu paquete utilizando una foto para cotizar el servicio,  ¿utilizarías esta función? ;Comentarios: Y si además de la coordinación de la logística la plataforma te ofreciera la opción de clasificar tu paquete utilizando una foto para cotizar el servicio,  ¿utilizarías esta función? ;"Puntos: ¿Qué importancia le darías a saber el ahorro de CO₂ al elegir un envío compartido?
";"Comentarios: ¿Qué importancia le darías a saber el ahorro de CO₂ al elegir un envío compartido?
";Me aportaría...;Puntos: Me aportaría...;Comentarios: Me aportaría...;¿Estarías dispuesto/a a transportar encomiendas en caso de que los puntos de retiro y entrega coincidan con tu ruta habitual a cambio de una compensación económica?;Puntos: ¿Estarías dispuesto/a a transportar encomiendas en caso de que los puntos de retiro y entrega coincidan con tu ruta habitual a cambio de una compensación económica?;Comentarios: ¿Estarías dispuesto/a a transportar encomiendas en caso de que los puntos de retiro y entrega coincidan con tu ruta habitual a cambio de una compensación económica?; Como transportista, ¿cuánto te tendrían que pagar para que valga la pena llevar un paquete chico en un trayecto que YA estás haciendo?;Puntos:  Como transportista, ¿cuánto te tendrían que pagar para que valga la pena llevar un paquete chico en un trayecto que YA estás haciendo?;Comentarios:  Como transportista, ¿cuánto te tendrían que pagar para que valga la pena llevar un paquete chico en un trayecto que YA estás haciendo?;Si tuvieras que transportar encomiendas, ¿qué medio/s de transporte elegirías? Podes marcar todas las opciones que prefieras;Puntos: Si tuvieras que transportar encomiendas, ¿qué medio/s de transporte elegirías? Podes marcar todas las opciones que prefieras;Comentarios: Si tuvieras que transportar encomiendas, ¿qué medio/s de transporte elegirías? Podes marcar todas las opciones que prefieras;¿Cuál sería tu principal motivación para participar como transportista?;Puntos: ¿Cuál sería tu principal motivación para participar como transportista?;Comentarios: ¿Cuál sería tu principal motivación para participar como transportista?;¿Tenes alguna otra motivación que no se encuentre mencionada? Podes contarnos acá;Puntos: ¿Tenes alguna otra motivación que no se encuentre mencionada? Podes contarnos acá;Comentarios: ¿Tenes alguna otra motivación que no se encuentre mencionada? Podes contarnos acá;¿Tenés alguna preocupación sobre participar como transportista?;Puntos: ¿Tenés alguna preocupación sobre participar como transportista?;Comentarios: ¿Tenés alguna preocupación sobre participar como transportista?;¿Cuál o cuáles son los motivos por los que no utiliza servicios de logística?;Puntos: ¿Cuál o cuáles son los motivos por los que no utiliza servicios de logística?;Comentarios: ¿Cuál o cuáles son los motivos por los que no utiliza servicios de logística?;Nos interesa saber más sobre tu opinión y porque aspectos optas no utilizar servicios de logística. Dejamos este espacio para que, si queres, nos cuentes.;Puntos: Nos interesa saber más sobre tu opinión y porque aspectos optas no utilizar servicios de logística. Dejamos este espacio para que, si queres, nos cuentes.;Comentarios: Nos interesa saber más sobre tu opinión y porque aspectos optas no utilizar servicios de logística. Dejamos este espacio para que, si queres, nos cuentes.;Dejamos este espacio en caso de que quieras comentarnos algo, ya sea una opinión, algo que te haya quedado pendiente después de responder o incluso una recomendación. Tu aporte nos ayuda a lograr ...;Comentarios: Dejamos este espacio en caso de que quieras comentarnos algo, ya sea una opinión, algo que te haya quedado pendiente después de responder o incluso una recomendación. Tu aporte nos ayuda a lograr ...;Puntos: Dejamos este espacio en caso de que quieras comentarnos algo, ya sea una opinión, algo que te haya quedado pendiente después de responder o incluso una recomendación. Tu aporte nos ayuda a lograr ...;
2;5/22/26 11:56:39;5/22/26 11:59:21;anonymous;;;;;Más de 50;;;Sí;;;"Particular / consumidor final;";;;Sí;;;;;Una vez por semana;;;"Correo Argentino / OCA / Andreani;Rappi Favor/Uber Envios/Similiares;Conocidos / familia / lo hago yo;";;;"Costos del servicio;Zonas de entrega cubiertas;Seguridad y confianza;Velocidad de entrega;Facilidad de uso / experiencia digital;";;;;;;Menos de $3.000;;;"Demoras;Falta de seguimiento;Mala atención;";;;;;Muy dispuesto/a;;;Sí, me parece muy útil y agilizaría el proceso;;;;;Mucho valor;;;Sí, me interesaría;;;Menos de $1.000;;;"Moto;";;;"Generar un ingreso extra sin desviarme de mi rutina;Aprovechar el espacio libre en mi vehiculo;Ayudar a reducir la huella de carbono optimizando viajes existentes;";;;;;;" Pago / comisión ;Responsabilidad por daños ;";;;"Falta de confianza en prestadores/sistemas;Costos elevados;Escasez de opciones;No hay opciones ecológicas / Genera contaminación innecesaria ;";;;;;;;;;
3;5/22/26 11:56:37;5/22/26 12:00:16;anonymous;;;;;18-25;;;Sí;;;"Particular / consumidor final;";;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"No existe la necesidad;";;;No tengo la necesidad, trabajo en relacion de dependencia y no depende de mi optar por estos servicios;;;;;;
4;5/22/26 11:57:52;5/22/26 12:02:57;anonymous;;;;;18-25;;;Sí;;;"Particular / consumidor final;";;;Sí;;;;;Menos de una vez por mes;;;"Correo Argentino / OCA / Andreani;Rappi Favor/Uber Envios/Similiares;";;;"Velocidad de entrega;Costos del servicio;Facilidad de uso / experiencia digital;";;;;;;$3.000 - $6.000;;;"Falta de seguimiento;Precio alto;";;;;;Muy dispuesto/a;;;Sí, me parece muy útil y agilizaría el proceso;;;;;Bastante valor;;;Sí, me interesaría;;;$1.000 - $2.500;;;"A pie;Auto;";;;"Generar un ingreso extra sin desviarme de mi rutina;";;;;;;"Ninguna;";;;"No existe la necesidad;Costos elevados;";;;;;;;;;
5;5/22/26 12:02:03;5/22/26 12:03:02;anonymous;;;;;18-25;;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;5/22/26 12:00:29;5/22/26 12:04:34;anonymous;;;;;18-25;;;Sí;;;"Particular / consumidor final;";;;Sí;;;;;Varias veces por semana;;;"Rappi Favor/Uber Envios/Similiares;Correo Argentino / OCA / Andreani;";;;"Costos del servicio;Seguridad y confianza;Facilidad de uso / experiencia digital;Velocidad de entrega;";;;;;;$3.000 - $6.000;;;"Falta de seguimiento;Dificultad para coordinar horarios;Falta de confianza;";;;;;Algo dispuesto/a;;;Sí, me parece muy útil y agilizaría el proceso;;;;;Poco valor;;;Tal vez, depende de las condiciones;;;Más de $5.000;;;"Moto;Auto;";;;"Aprovechar el espacio libre en mi vehiculo;Generar un ingreso extra sin desviarme de mi rutina;";;;;;;"Responsabilidad por daños ;";;;"Costos elevados;No existe la necesidad;";;;Ahorrar plata, precios elevados. en casi de envios, por posible hurto o daño de lo que quiero enviar;;;;;;
7;5/22/26 12:02:25;5/22/26 12:05:46;anonymous;;;;;18-25;;;Sí;;;"Particular / consumidor final;";;;Sí;;;;; 1-3 veces por mes;;;"Correo Argentino / OCA / Andreani;";;;"Costos del servicio;Zonas de entrega cubiertas;Seguridad y confianza;Velocidad de entrega;";;;;;;$3.000 - $6.000;;;"Precio alto;Demoras;Falta de seguimiento;Dificultad para coordinar horarios;Daños o pérdidas;";;;;;Algo dispuesto/a;;;Sí, me parece muy útil y agilizaría el proceso;;;;;Poco valor;;;Sí, me interesaría;;;Más de $5.000;;;"Auto;";;;"Generar un ingreso extra sin desviarme de mi rutina;";;;;;;"Responsabilidad por daños ; Confianza en el cliente; Pago / comisión ;Interferencia con mi rutina;";;;"Escasez de opciones;Falta de confianza en prestadores/sistemas;";;;;;;;;;
8;5/22/26 12:03:00;5/22/26 12:06:57;anonymous;;;;;26-35;;;Sí;;;"Trabajo en una PyME o comercio;";;;Sí;;;;; 1-3 veces por mes;;;"Otro;Correo Argentino / OCA / Andreani;";;;"Seguridad y confianza;";;;En mi empresa se usa un servicio de logística de la empresa ;;;$3.000 - $6.000;;;"Demoras;Dificultad para coordinar horarios;";;;;;Muy dispuesto/a;;;Sí, me parece muy útil y agilizaría el proceso;;;;;Mucho valor;;;Sí, me interesaría;;;Más de $5.000;;;"Moto;";;;"Ayudar a reducir la huella de carbono optimizando viajes existentes;";;;;;;" Confianza en el cliente; Pago / comisión ;";;;"Costos elevados;Falta de confianza en prestadores/sistemas;";;;;;;;;;
9;5/22/26 12:03:54;5/22/26 12:07:42;anonymous;;;;;26-35;;;Sí;;;"Otro;";;;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"No existe la necesidad;";;;;;;;;;
10;5/22/26 12:03:31;5/22/26 12:08:11;anonymous;;;;;18-25;;;Sí;;;"Particular / consumidor final;";;;No usé, pero estaría dispuesto/a;;;;; 1-3 veces por mes;;;"Correo Argentino / OCA / Andreani;";;;"Costos del servicio;Zonas de entrega cubiertas;Seguridad y confianza;Facilidad de uso / experiencia digital;Velocidad de entrega;";;;;;; $6.000 - $10.000;;;"Demoras;Falta de seguimiento;";;;;;Muy dispuesto/a;;;Sí, me parece muy útil y agilizaría el proceso;;;;;Bastante valor;;;Sí, me interesaría;;;Más de $5.000;;;"Moto;Auto;Vehículos de mayor porte (camioneta, camión, etc.);Transporte especializado;";;;"Generar un ingreso extra sin desviarme de mi rutina;Aprovechar el espacio libre en mi vehiculo;Ayudar a reducir la huella de carbono optimizando viajes existentes;";;;;;;" Confianza en el cliente; Pago / comisión ;";;;"Escasez de opciones;Costos elevados;Falta de confianza en prestadores/sistemas;";;;;;;;;;
11;5/22/26 12:07:56;5/22/26 12:09:31;anonymous;;;;;18-25;;;Sí;;;"Particular / consumidor final;";;;Sí;;;;;Una vez por semana;;;"Correo Argentino / OCA / Andreani / Mercado Libre;";;;"Costos del servicio;Seguridad y confianza;";;;;;;$3.000 - $6.000;;;"Precio alto;Falta de seguimiento;Demoras;Falta de confianza;Poca cobertura;Mala atención;Dificultad para contratar el servicio online;";;;;;Muy dispuesto/a;;;Sí, me parece muy útil y agilizaría el proceso;;;;;Mucho valor;;;Sí, me interesaría;;;Más de $5.000;;;"Auto;";;;"Generar un ingreso extra sin desviarme de mi rutina;Aprovechar el espacio libre en mi vehiculo;";;;;;;" Confianza en el cliente;";;;"Costos elevados;";;;;;;;;;
